id	dsd_id	name	province_id	district_id	centroid
LK-9121	LK-9121	Opanayake	LK-9	LK-91	6.612096,80.626426
LK-9124	LK-9124	Pelmadulla	LK-9	LK-91	6.635656,80.510086
LK-9127	LK-9127	Elapatha	LK-9	LK-91	6.662017,80.353491
LK-9130	LK-9130	Ayagama	LK-9	LK-91	6.652552,80.290211
LK-9133	LK-9133	Kalawana	LK-9	LK-91	6.464411,80.452266
LK-9136	LK-9136	Nivithigala	LK-9	LK-91	6.570635,80.457536
LK-9139	LK-9139	Kahawatta	LK-9	LK-91	6.528196,80.545651
LK-9142	LK-9142	Godakawela	LK-9	LK-91	6.499200,80.641571
LK-9145	LK-9145	Weligepola	LK-9	LK-91	6.542480,80.743669
LK-9148	LK-9148	Embilipitiya	LK-9	LK-91	6.354551,80.814716
LK-9151	LK-9151	Kolonna	LK-9	LK-91	6.389909,80.681587
LK-9203	LK-9203	Rambukkana	LK-9	LK-92	7.323122,80.386388
LK-9206	LK-9206	Mawanella	LK-9	LK-92	7.229890,80.473884
LK-9209	LK-9209	Aranayaka	LK-9	LK-92	7.165299,80.443382
LK-9212	LK-9212	Kegalle	LK-9	LK-92	7.207709,80.368738
LK-9215	LK-9215	Galigamuwa	LK-9	LK-92	7.215606,80.305410
LK-9218	LK-9218	Warakapola	LK-9	LK-92	7.203734,80.231718
LK-9221	LK-9221	Ruwanwella	LK-9	LK-92	7.063652,80.218767
LK-9224	LK-9224	Bulathkohupitiya	LK-9	LK-92	7.097348,80.358286
LK-9227	LK-9227	Yatiyanthota	LK-9	LK-92	7.028376,80.369524
LK-9230	LK-9230	Dehiovita	LK-9	LK-92	6.939028,80.280895
LK-9233	LK-9233	Deraniyagala	LK-9	LK-92	6.906820,80.402205
